stop_id,stop_name,num_lines,stop_code,x_coord,y_coord
101001602,Moritzstr.,7,MRTZ02,377975.49232703,5822441.89361262
101001603,Krematorium Ruhleben,2,KRRU02,380034.97535556,5821204.85632568
101001604,U Ruhleben,4,URUH01,380723.10876367,5820971.47079178
101001605,Lüdenscheider Weg,2,LUED02,380434.99148916,5823339.54729307
101001606,Burscheider Weg,2,BURW01,380530.32103597,5823104.64219481
101001607,Corneliusbrücke,1,CNBR01,387931.1870309,5818776.44129844
101001608,Neuköllnische Brücke,1,NKBR01,395070.14658271,5814336.56381758
101001609,Neuköllnische Brücke,1,NKBR02,395078.10395588,5814344.81695884
101001610,Selgenauer Weg,2,SELG01,398332.16177226,5808622.94639292
101001611,Selgenauer Weg,2,SELG02,398348.78110547,5808634.41942832
101001612,Burscheider Weg,2,BURW02,380546.34736438,5823116.63701122
101001613,Krantorweg,1,KRNT01,379828.72935793,5831804.40144709
101001614,Kurzebracker Weg,1,KZBR01,379657.70409513,5831435.47853484
101001615,Mattenbuder Pfad,1,MATT01,379525.22946124,5831142.52031426
101001616,Mattenbuder Pfad,1,MATT02,379543.04514864,5831174.67685505
101001617,Kurzebracker Weg,1,KZBR02,379667.14488808,5831447.7990196
101001618,Krantorweg,1,KRNT02,379833.76513697,5831806.20270166
101001620,Papierstr.,3,PAPI01,390064.0519601,5825102.22269153
101001621,Ritterlandweg/Soldiner Str.,3,RWSO02,389971.12138252,5824569.53224771
101001622,Drontheimer Str.,3,DRNT01,389967.98627403,5824268.30614295
101001623,Michael-Bohnen-Ring,1,MIBO02,396246.23072201,5813861.94005181
101001624,Am Klötzgraben,1,AMKG01,388683.76981045,5830711.04139159
101001625,Kolonie Haselbusch,2,KOHA02,380062.32830714,5823992.20446259
101001626,Corneliusbrücke,1,CNBR02,387917.47935791,5818786.29143974
101001627,Stromstr.,1,STRM01,387676.18729149,5821192.83187958
101001628,Wilhelm-Borgmann-Brücke,1,WBBR01,393257.53322899,5812829.65074086
101001629,Wenckebachstr.,1,WCKB02,390470.27641259,5813058.42952509
101001632,Philharmonie,1,PHIL02,389323.75750951,5819099.9184828
101001633,Oberlandstr./Germaniastr.,1,OBGE02,391336.84052611,5813832.49376354
101001634,Sandsteinweg,1,SSTW02,391172.22605767,5808580.90574234
101001635,S Nikolassee,1,SNIK02,377125.51251689,5810564.53702637
101001636,U Kaiserin-Augusta-Str.,1,UKAS01,390223.27538114,5813530.69362193
101001637,U Bayerischer Platz,1,UBP02N,387353.25858556,5816691.46205543
101001638,U Kaiserin-Augusta-Str.,1,UKAS02,390208.96490729,5813530.26817884
101001639,S+U Rathaus Spandau,6,SUSP03,377907.26120419,5822172.30861
101001640,Am Klötzgraben,1,AMKG02,388687.30419699,5830691.97635478
101001641,Lienemannstr.,1,LIEN01,386363.3293413,5826407.50892309
101001643,Gradestr./Tempelhofer Weg,1,GRTW02,393459.36093202,5812590.13503251
101001644,Waldfriedhof Dahlem,1,WFDA01,382165.91361136,5813061.00542255
101001645,U Kurt-Schumacher-Platz,6,UKSP01,386596.91166685,5825015.34266398
101001646,Didostr.,1,DIDO02,391120.51035037,5811984.236605
101001647,Merziger Str.,2,MERZ01,376870.48994844,5823201.89700189
101001648,Bogenstr.,3,BOGE01,385516.18954056,5809687.11748625
101001649,Zehlendorf Eiche,3,ZEIC05,381808.98985006,5810824.70905428
101001650,Elsflether Weg,1,ELSF01,377461.58296767,5821952.00033026
101001651,Tillmannsweg,1,TILL01,376469.97292641,5809709.03221209
101001652,Tillmannsweg,1,TILL02,376534.23426024,5809749.2054563
101001653,U Alt-Tegel,5,UALT01,383680.46571963,5828114.10847534
101001654,Schildhorn,1,SCHI02,377760.37156074,5817542.2907896
101001655,S Buckower Chaussee Ost,1,SBUO01,390343.58797036,5808083.61569526
